Lon,Lat,Site
144.6544794,13.20964855,1
144.64,13.4516333,1
144.8,13.55539559,1
144.9382798,13.67502634,1
144.9387214,13.44519871,1
144.8,13.3158913,1
145.7609758,15.28,2
145.8386702,15.15160421,2
145.6810244,15.15353188,2
145.6009758,15.12,2
145.6786702,14.99160421,2
145.5210244,14.99353188,2
158.3189827,6.753576861,6
158.1608825,6.75442784,6
158.08,6.884787347,6
158.1352163,7.04,6
158.3172069,7.014000103,6
158.4,6.88392576,6
127.624441,26.00358735,7
127.7781648,26.08,7
127.6,26.21037334,7
127.8524338,26.24,7
128,26.32670285,7
127.68,26.36464238,7
128.0635457,26.48,7
127.76,26.51891143,7
128.2178147,26.56,7
128.371935,26.64189032,7
127.89084,26.72,7
128.08,26.74768287,7
128.3990062,26.84627461,7
128.1993858,26.87990272,7
166.6496851,19.36,12
166.72,19.27031493,12
166.6303149,19.2,12
166.56,19.28968507,12
171.2,7.11,3
166.81,11.345,4
202.819,2,5
193.85,23.75,10
190.47,16.76,11